time,mean_blue,std_blue
0.1,5.26E+02,1.79E+01
0.2,8.08E+02,2.15E+01
0.3,1.04E+03,2.41E+01
0.4,1.35E+03,2.68E+01
0.5,1.63E+03,2.91E+01
1,3.25E+03,4.03E+01
1.5,4.73E+03,4.89E+01
2,6.20E+03,5.60E+01
2.5,7.66E+03,6.19E+01
3,9.17E+03,6.86E+01
3.5,1.06E+04,7.48E+01
4,1.21E+04,8.06E+01
6,1.81E+04,1.03E+02
8,2.40E+04,1.22E+02
10,3.00E+04,1.41E+02
12,3.60E+04,1.60E+02
14,4.19E+04,1.77E+02
16,4.77E+04,1.93E+02
18,5.35E+04,2.06E+02
18.5,5.50E+04,2.08E+02
19,5.64E+04,2.12E+02
19.5,5.78E+04,2.11E+02
19.6,5.80E+04,2.12E+02
19.7,5.83E+04,2.11E+02
19.8,5.86E+04,2.10E+02
19.9,5.88E+04,2.08E+02
20,5.90E+04,2.08E+02
