time,mean_green,std_green,,
0.1,7.49E+02,2.08E+01,,
0.2,1.14E+03,2.49E+01,,
0.4,1.89E+03,3.10E+01,,
0.6,2.83E+03,3.79E+01,,
0.8,3.67E+03,4.25E+01,,
1.5,6.45E+03,5.77E+01,,
2,8.48E+03,6.75E+01,,
4,1.65E+04,9.97E+01,,
6,2.46E+04,1.30E+02,,
8,3.27E+04,1.58E+02,,
10,4.08E+04,1.83E+02,,
12,4.87E+04,2.06E+02,,
12.5,5.07E+04,2.12E+02,,
13,5.26E+04,2.18E+02,,
13.5,5.45E+04,2.22E+02,,
14,5.65E+04,2.26E+02,,
14.2,5.73E+04,2.26E+02,,
14.4,5.81E+04,2.26E+02,,
14.6,5.88E+04,2.26E+02,,
14.7,5.92E+04,2.24E+02,,
14.8,5.95E+04,2.22E+02,,
14.9,5.99E+04,2.21E+02,,
15,6.03E+04,2.21E+02,,
