R_temp1_ohm,1a_mV,1b_mV,2a_mV,2b_mV,R_temp2_ohm,3a_0_mV,3a_B_mV,3b_B_mV,3b_0_mV
108.443,25.673,-25.687,11.63,-11.64,108.442,14,3.953,-3.972,-14.017
108.442,25.672,-25.688,11.626,-11.637,108.442,14,3.955,-3.968,-14.017
108.442,25.672,-25.688,11.626,-11.638,108.442,14,3.955,-3.996,-14.017
108.442,25.673,-25.688,11.627,-11.638,108.442,14,3.954,-3.97,-14.016
108.442,25.673,-25.687,11.627,-11.638,108.442,14,3.954,-3.969,-14.017
107.459,25.411,-25.379,11.48,-11.461,106.799,13.76,3.735,-3.661,-13.654
105.484,24.947,-939,11.283,-11.255,104.691,13.492,3.445,-3.402,-13.414
103.487,24.501,-24.491,11.102,-11.064,102.826,13.239,3.261,-3.15,-13.163
101.473,24.06,-24.051,10.913,-10.871,100.828,12.982,2.931,-2.872,-12.919
99.483,23.603,-23.603,10.724,-10.683,98.874,12.75,2.732,-2.63,-12.696
97.481,23.178,-23.178,10.531,-10.487,96.86,12.502,2.383,-2.367,-12.447
95.571,22.761,-22.765,10.352,-10.303,94.875,12.251,2.131,-2.101,-12.203
93.57,22.312,-22.322,10.157,-10.104,92.951,12.021,1.871,-1.856,-11.947
91.532,21.883,-21.883,9.966,-9.913,90.919,11.78,1.792,-1.612,-11.726
89.587,21.47,-21.47,9.781,-9.73,88.937,11.545,1.452,-1.352,-11.498
87.551,21.028,-21.03,9.582,-9.531,86.96,11.312,1.191,-1.11,-11.262
85.578,20.611,-20.601,9.387,-9.336,84.861,11.061,0.821,-0.811,-10.992
83.576,20.174,-20.175,9.201,-9.146,82.96,10.842,0.64,-0.598,-10.774
81.588,19.763,-19.77,9.019,-8.964,80.938,10.61,0.342,-0.333,-10.554
79.695,19.372,-19.373,8.838,-7.784,79.026,10.38,0.12,-0.084,-10.314
77.697,18.962,-18.966,8.66,-8.606,77.1,10.177,-0.151,0.158,-10.097
75.689,18.557,-18.566,8.472,-8.421,75.112,9.951,-0.384,0.386,-9.894
73.796,18.87,-18.879,8.304,-8.252,73.193,9.743,-0.619,0.616,-9.682
71.858,17.79,-17.786,8.13,-8.078,70.95,9.554,-0.891,0.892,-9.433
69.582,17.344,-17.348,7.932,-7.876,69.025,9.297,-1.108,1.109,-9.239
67.881,17.018,-17.018,7.78,-7.741,67.235,9.117,-1.297,1.307,-9.057
65.892,16.442,-16.635,7.599,-7.544,65.177,8.908,-1.573,1.583,-8.83
63.597,16.224,-16.223,7.414,-7.362,63.026,8.681,-1.771,1.809,-8.633
61.596,15.864,-15.87,7.26,-7.213,61.159,8.518,-1.997,1.997,-8.492
59.987,15.587,-15.595,7.138,-7.09,59.608,8.373,-2.145,2.175,-8.343
58.792,15.383,-15.397,7.047,-7,58.38,8.26,-2.326,2.322,-8.223
57.537,15.169,-15.181,6.954,-6.901,57.104,8.137,-2.469,2.467,-8.109
56.157,14.946,-14.956,6.851,-6.803,55.775,8.018,-2.624,2.63,-7.975
54.751,14.719,-14.725,6.752,-6.705,54.383,7.887,-2.754,2.783,-7.848
53.364,14.502,-14.511,6.663,-6.613,53.015,7.77,-2.874,2.939,-7.704
52.166,14.324,-14.334,6.583,-6.532,51.79,7.67,-3.031,3.078,-7.624
50.844,14.131,-14.14,6.499,-6.448,50.454,7.567,-3.169,3.209,-7.569
49.67,13.97,-13.975,6.426,-6.376,49.277,7.47,-3.32,3.365,-7.402
48.126,13.763,-13.774,6.336,-6.305,47.779,7.364,-3.404,3.511,-7.292
46.795,13.595,-13.603,6.266,-6.206,46.322,7.266,-3.607,3.657,-7.226
45.291,13.42,-13.429,6.183,-6.13,44.852,7.173,-3.62,3.81,-7.132
43.898,13.268,-13.277,6.118,-6.066,43.55,9.097,-3.944,3.947,-7.067
42.588,13.136,-13.146,6.059,-6.003,42.166,7.021,-4.061,4.081,-6.995
41.171,13.008,-13.016,6.004,-5.948,40.721,6.949,-4.221,4.228,-6.936
39.727,12.889,-12.887,5.951,-5.894,39.22,6.883,-4.369,-4.374,-6.851
37.897,12.764,-12.771,5.896,-5.842,37.424,6.819,-4.549,4.554,-6.805
36.188,12.677,-12.682,5.857,-5.804,35.71,6.74,-4.69,4.729,-6.709
34.393,12.605,-12.618,5.831,-5.779,33.932,6.741,-4.833,4.861,-6.742
32.591,12.507,-12.525,5.801,-5.766,31.93,6.709,-5.039,-5.431,-6.608
30.264,12.56,-12.6,5.832,-5.782,29.663,-4.159,-4.619,-4.919,-4.618
27.542,12.7,11.805,5.89,-5.86,27,-6.069,-6.297,-6.236,-6.663
25.854,-7.063,-10.271,5.738,4.45,25.122,-1.347,-1.418,-2.212,-2.667
23.737,-4.277,-4.374,-4.089,-6.036,23.191,7.047,-5.597,5.668,-7.049
21.914,13.178,-13.391,6.207,-6.182,21.364,7.216,-5.701,5.743,-7.184
20.172,13.731,-13.75,6.387,-6.351,19.71,7.42,-5.607,5.797,-7.456
17.96,14.357,-14.372,6.677,-6.65,17.502,7.773,-5.771,5.81,-7.804
16.555,14.848,-14.85,6.9,-6.874,16.103,8.044,-5.703,5.787,-8.134
15.045,15.482,-15.522,7.22,-7.201,14.519,8.441,-5.686,5.698,-8.566
13.258,26.443,-16.504,7.688,-7.663,12.76,8.997,-5.502,5.52,-9.179
11.219,17.873,-17.963,8.378,-8.873,10.551,9.919,-5.089,5.079,-10.164
9.375,19.631,-19.781,9.228,-9.266,8.721,11.023,-4.447,4.426,-11.318
7.433,22.177,-22.361,10.438,-10.128,6.808,12.63,-3.342,3.287,-13.154
5.249,26.804,-26.991,12.664,-12.772,4.782,15.551,-0.869,0.729,-16.434
3.545,32.099,-33.514,15.754,-15.912,3.201,19.134,2.281,-2.478,-20.144
2.478,40.416,-40.524,18.789,-18.852,2.404,22.389,5.241,-5.235,-22.801
1.85,50.697,-61.891,29.139,-29.429,1.33,36.089,19.781,-19.965,-36.812
