[s],CH2[V]
-1.1876E-02,1.6042056614E-02
-1.1872E-02,1.5442746664E-02
-1.1868E-02,1.5686790026E-02
-1.1864E-02,1.8006511358E-02
-1.1860E-02,1.7346744176E-02
-1.1856E-02,1.8050519615E-02
-1.1852E-02,1.8710380258E-02
-1.1848E-02,1.7788385051E-02
-1.1844E-02,2.0229277386E-02
-1.1840E-02,1.9295721739E-02
-1.1836E-02,2.0070330388E-02
-1.1832E-02,2.0446009422E-02
-1.1828E-02,2.1965649463E-02
-1.1824E-02,2.1506057575E-02
-1.1820E-02,2.4163856469E-02
-1.1816E-02,2.4285537688E-02
-1.1812E-02,2.5177859317E-02
-1.1808E-02,2.4808721535E-02
-1.1804E-02,2.6681693159E-02
-1.1800E-02,2.7033411125E-02
-1.1796E-02,2.6877060028E-02
-1.1792E-02,2.7144478902E-02
-1.1788E-02,2.9961778879E-02
-1.1784E-02,3.2236107218E-02
-1.1780E-02,3.2956120871E-02
-1.1776E-02,3.2625107176E-02
-1.1772E-02,3.3925950476E-02
-1.1768E-02,3.5244221222E-02
-1.1764E-02,3.6842108337E-02
-1.1760E-02,4.1594340161E-02
-1.1756E-02,4.1105025105E-02
-1.1752E-02,4.2038034297E-02
-1.1748E-02,4.5295570386E-02
-1.1744E-02,4.8519711660E-02
-1.1740E-02,4.9526613449E-02
-1.1736E-02,5.2552184462E-02
-1.1732E-02,5.3955619282E-02
-1.1728E-02,5.7354797949E-02
-1.1724E-02,6.2338425505E-02
-1.1720E-02,6.2314363347E-02
-1.1716E-02,6.6170636227E-02
-1.1712E-02,7.0032513852E-02
-1.1708E-02,7.4001706546E-02
-1.1704E-02,7.6068995996E-02
-1.1700E-02,8.1753618077E-02
-1.1696E-02,8.4276884989E-02
-1.1692E-02,8.6652429650E-02
-1.1688E-02,9.2946532618E-02
-1.1684E-02,9.6956737124E-02
-1.1680E-02,1.0016258502E-01
-1.1676E-02,1.0658872801E-01
-1.1672E-02,1.1113741616E-01
-1.1668E-02,1.1780511248E-01
-1.1664E-02,1.2462119767E-01
-1.1660E-02,1.2573492624E-01
-1.1656E-02,1.3350573197E-01
-1.1652E-02,1.4281997191E-01
-1.1648E-02,1.4451767822E-01
-1.1644E-02,1.5387638990E-01
-1.1640E-02,1.5598062279E-01
-1.1636E-02,1.6670296579E-01
-1.1632E-02,1.6721638592E-01
-1.1628E-02,1.7708410413E-01
-1.1624E-02,1.8379688064E-01
-1.1620E-02,1.8384523479E-01
-1.1616E-02,1.8994986459E-01
-1.1612E-02,1.9608157780E-01
-1.1608E-02,1.9491185328E-01
-1.1604E-02,2.0439033216E-01
-1.1600E-02,1.9932782429E-01
-1.1596E-02,2.2066571498E-01
-1.1592E-02,2.1018239710E-01
-1.1588E-02,2.0790595828E-01
-1.1584E-02,2.0481918331E-01
-1.1580E-02,1.9913667076E-01
-1.1576E-02,1.8698818786E-01
-1.1572E-02,2.1680754810E-01
-1.1568E-02,2.0448955912E-01
-1.1564E-02,1.4021682810E-01
-1.1560E-02,2.1727579077E-01
-1.1556E-02,2.0746373853E-01
-1.1552E-02,2.1270193896E-01
-1.1548E-02,1.7020079540E-01
-1.1544E-02,1.7661335903E-01
-1.1540E-02,2.5799751435E-01
-1.1536E-02,2.3622720673E-01
-1.1532E-02,2.4185018711E-01
-1.1528E-02,2.2106096532E-01
-1.1524E-02,2.3550172948E-01
-1.1520E-02,2.6434088413E-01
-1.1516E-02,2.7575942372E-01
-1.1512E-02,2.6216789323E-01
-1.1508E-02,2.8467420953E-01
-1.1504E-02,2.3240460523E-01
-1.1500E-02,2.6588089847E-01
-1.1496E-02,2.6913103691E-01
-1.1492E-02,2.4114040162E-01
-1.1488E-02,2.4679629807E-01
-1.1484E-02,1.8284548842E-01
-1.1480E-02,2.4650715736E-01
-1.1476E-02,2.3858545746E-01
-1.1472E-02,2.1585973883E-01
-1.1468E-02,1.8363458815E-01
-1.1464E-02,1.9490384814E-01
-1.1460E-02,2.0292766940E-01
-1.1456E-02,1.5258455120E-01
-1.1452E-02,1.8393955509E-01
