[s],CH2[V]
-1.1876E-02,2.3744549194E-01
-1.1872E-02,2.4632621188E-01
-1.1868E-02,2.3931911861E-01
-1.1864E-02,2.3015640672E-01
-1.1860E-02,2.2307849836E-01
-1.1856E-02,2.0492955200E-01
-1.1852E-02,1.9846387870E-01
-1.1848E-02,1.9361735362E-01
-1.1844E-02,1.8391326467E-01
-1.1840E-02,1.7274692600E-01
-1.1836E-02,1.7415250840E-01
-1.1832E-02,1.7084906170E-01
-1.1828E-02,1.7026778291E-01
-1.1824E-02,1.6320647802E-01
-1.1820E-02,1.5383012402E-01
-1.1816E-02,1.4964526293E-01
-1.1812E-02,1.4338071953E-01
-1.1808E-02,1.5651107889E-01
-1.1804E-02,1.4472094186E-01
-1.1800E-02,1.4583262568E-01
-1.1796E-02,1.5735337356E-01
-1.1792E-02,1.4446171888E-01
-1.1788E-02,1.5595299823E-01
-1.1784E-02,1.4149079457E-01
-1.1780E-02,1.3530275970E-01
-1.1776E-02,1.3772245550E-01
-1.1772E-02,1.3751046324E-01
-1.1768E-02,1.3384778174E-01
-1.1764E-02,1.1929618066E-01
-1.1760E-02,1.1626214218E-01
-1.1756E-02,1.1745339105E-01
-1.1752E-02,1.1026063170E-01
-1.1748E-02,1.1022047724E-01
-1.1744E-02,1.0563070512E-01
-1.1740E-02,1.0280197841E-01
-1.1736E-02,9.7206242034E-02
-1.1732E-02,8.3148610856E-02
-1.1728E-02,7.9346692911E-02
-1.1724E-02,8.0021083689E-02
-1.1720E-02,7.5224101984E-02
-1.1716E-02,7.9664075716E-02
-1.1712E-02,7.1765654605E-02
-1.1708E-02,6.7937954076E-02
-1.1704E-02,6.4905613140E-02
-1.1700E-02,6.7662990703E-02
-1.1696E-02,6.5924928837E-02
-1.1692E-02,5.5749305171E-02
-1.1688E-02,5.1651252284E-02
-1.1684E-02,5.4768484537E-02
-1.1680E-02,5.0690802133E-02
-1.1676E-02,4.6183937686E-02
-1.1672E-02,4.7232149714E-02
-1.1668E-02,4.6900647761E-02
-1.1664E-02,4.1285809286E-02
-1.1660E-02,4.2165011155E-02
-1.1656E-02,3.8296579197E-02
-1.1652E-02,3.9574111746E-02
-1.1648E-02,3.5279220484E-02
-1.1644E-02,3.5673717393E-02
-1.1640E-02,3.2385610548E-02
-1.1636E-02,2.8458131846E-02
-1.1632E-02,3.2424391714E-02
-1.1628E-02,2.5358475810E-02
-1.1624E-02,2.8917578743E-02
-1.1620E-02,2.8819221544E-02
-1.1616E-02,2.5747379419E-02
-1.1612E-02,2.4692014834E-02
-1.1608E-02,2.2406300736E-02
-1.1604E-02,2.3053692994E-02
-1.1600E-02,2.2638549037E-02
-1.1596E-02,2.0679749718E-02
-1.1592E-02,1.9957489259E-02
-1.1588E-02,1.8519315044E-02
-1.1584E-02,1.5878910402E-02
-1.1580E-02,1.9271048807E-02
-1.1576E-02,1.4909285904E-02
-1.1572E-02,1.3323931134E-02
-1.1568E-02,1.6308092445E-02
-1.1564E-02,1.2745699336E-02
-1.1560E-02,1.3773931887E-02
-1.1556E-02,1.4089869876E-02
-1.1552E-02,1.2523264343E-02
-1.1548E-02,1.2915129111E-02
-1.1544E-02,1.3551921280E-02
-1.1540E-02,1.0336489184E-02
-1.1536E-02,1.2300013959E-02
-1.1532E-02,1.0730628466E-02
-1.1528E-02,8.9144892849E-03
-1.1524E-02,9.4289393467E-03
-1.1520E-02,9.6835608467E-03
-1.1516E-02,1.0794167015E-02
-1.1512E-02,1.0304817661E-02
-1.1508E-02,1.0334391101E-02
-1.1504E-02,7.8051371979E-03
-1.1500E-02,7.4448199758E-03
-1.1496E-02,8.7978263084E-03
-1.1492E-02,9.0550656444E-03
-1.1488E-02,8.2730336490E-03
-1.1484E-02,8.3831830300E-03
-1.1480E-02,8.7502331927E-03
-1.1476E-02,6.9742103214E-03
-1.1472E-02,6.7153926544E-03
-1.1468E-02,7.9893679983E-03
-1.1464E-02,8.8344235595E-03
-1.1460E-02,8.4580607673E-03
-1.1456E-02,5.4321046811E-03
-1.1452E-02,8.3016486462E-03
