[s],CH2[V]
-1.1876E-02,2.1515448993E+00
-1.1872E-02,2.1288843630E+00
-1.1868E-02,2.1109955933E+00
-1.1864E-02,2.1018217854E+00
-1.1860E-02,2.0487318341E+00
-1.1856E-02,2.0419362181E+00
-1.1852E-02,2.0070154311E+00
-1.1848E-02,1.9723033462E+00
-1.1844E-02,1.9597355259E+00
-1.1840E-02,1.9268868108E+00
-1.1836E-02,1.8899944023E+00
-1.1832E-02,1.8719341095E+00
-1.1828E-02,1.8380308453E+00
-1.1824E-02,1.7775513201E+00
-1.1820E-02,1.7718588573E+00
-1.1816E-02,1.6814598420E+00
-1.1812E-02,1.6643185002E+00
-1.1808E-02,1.6091832943E+00
-1.1804E-02,1.5394388329E+00
-1.1800E-02,1.5262696161E+00
-1.1796E-02,1.4886246537E+00
-1.1792E-02,1.4317781698E+00
-1.1788E-02,1.3683486153E+00
-1.1784E-02,1.3084056035E+00
-1.1780E-02,1.2712220048E+00
-1.1776E-02,1.1888760060E+00
-1.1772E-02,1.1787993737E+00
-1.1768E-02,1.1183924232E+00
-1.1764E-02,1.0449491789E+00
-1.1760E-02,1.0061077367E+00
-1.1756E-02,9.7659704860E-01
-1.1752E-02,9.5873085237E-01
-1.1748E-02,8.9244490987E-01
-1.1744E-02,8.5259654021E-01
-1.1740E-02,8.5122328260E-01
-1.1736E-02,8.2302922767E-01
-1.1732E-02,7.9020731564E-01
-1.1728E-02,7.7855566643E-01
-1.1724E-02,7.4829556674E-01
-1.1720E-02,7.3381836178E-01
-1.1716E-02,7.1807241716E-01
-1.1712E-02,6.7927562600E-01
-1.1708E-02,6.4166438073E-01
-1.1704E-02,6.4689337212E-01
-1.1700E-02,5.9782433578E-01
-1.1696E-02,5.8920646278E-01
-1.1692E-02,5.6052634867E-01
-1.1688E-02,5.2737831818E-01
-1.1684E-02,4.9979272176E-01
-1.1680E-02,4.8138164849E-01
-1.1676E-02,4.8258287279E-01
-1.1672E-02,4.4147767961E-01
-1.1668E-02,4.2463609197E-01
-1.1664E-02,4.1500469684E-01
-1.1660E-02,3.8148702696E-01
-1.1656E-02,3.7695508565E-01
-1.1652E-02,3.5909516936E-01
-1.1648E-02,3.3662222084E-01
-1.1644E-02,3.3634022412E-01
-1.1640E-02,3.1572612984E-01
-1.1636E-02,3.0059794205E-01
-1.1632E-02,2.9849570058E-01
-1.1628E-02,2.8349292095E-01
-1.1624E-02,2.7989602391E-01
-1.1620E-02,2.7161503159E-01
-1.1616E-02,2.5592164872E-01
-1.1612E-02,2.4943139446E-01
-1.1608E-02,2.5284466152E-01
-1.1604E-02,2.3260063579E-01
-1.1600E-02,2.2552753395E-01
-1.1596E-02,2.1994098622E-01
-1.1592E-02,2.1330411885E-01
-1.1588E-02,2.0915289862E-01
-1.1584E-02,2.0021173003E-01
-1.1580E-02,2.0121052266E-01
-1.1576E-02,1.8817068607E-01
-1.1572E-02,1.8107612179E-01
-1.1568E-02,1.7486003936E-01
-1.1564E-02,1.6989046645E-01
-1.1560E-02,1.6535199723E-01
-1.1556E-02,1.6453275287E-01
-1.1552E-02,1.5979835127E-01
-1.1548E-02,1.5597011668E-01
-1.1544E-02,1.5060869331E-01
-1.1540E-02,1.4888273357E-01
-1.1536E-02,1.4486541398E-01
-1.1532E-02,1.4236694945E-01
-1.1528E-02,1.3888827941E-01
-1.1524E-02,1.3189913906E-01
-1.1520E-02,1.3146578946E-01
-1.1516E-02,1.2958717507E-01
-1.1512E-02,1.2628891636E-01
-1.1508E-02,1.2544377020E-01
-1.1504E-02,1.2350479301E-01
-1.1500E-02,1.2248891530E-01
-1.1496E-02,1.2047882261E-01
-1.1492E-02,1.1541024878E-01
-1.1488E-02,1.1529121592E-01
-1.1484E-02,1.1456794933E-01
-1.1480E-02,1.1177633963E-01
-1.1476E-02,1.1113094532E-01
-1.1472E-02,1.1197338781E-01
-1.1468E-02,1.1000766005E-01
-1.1464E-02,1.0795415134E-01
-1.1460E-02,1.0557827687E-01
-1.1456E-02,1.0322468501E-01
-1.1452E-02,9.9719540966E-02
-1.1448E-02,1.0045159089E-01
-1.1444E-02,1.0099488006E-01
-1.1440E-02,1.0084807144E-01
-1.1436E-02,9.7893588477E-02
-1.1432E-02,1.0020073164E-01
-1.1428E-02,9.5800487976E-02
-1.1424E-02,9.6034157252E-02
-1.1420E-02,9.6299006909E-02
-1.1416E-02,9.5495479095E-02
-1.1412E-02,9.2253425182E-02
-1.1408E-02,9.1238820636E-02
-1.1404E-02,9.3038995309E-02
-1.1400E-02,9.4426929962E-02
-1.1396E-02,9.5656793102E-02
-1.1392E-02,9.6832358795E-02
-1.1388E-02,9.1575524882E-02
-1.1384E-02,9.2394435463E-02
-1.1380E-02,9.0995857804E-02
-1.1376E-02,8.8636129044E-02
-1.1372E-02,9.2262160838E-02
-1.1368E-02,9.6255533666E-02
-1.1364E-02,9.2202317776E-02
-1.1360E-02,9.2555325085E-02
-1.1356E-02,9.6481988396E-02
-1.1352E-02,8.9214556345E-02
-1.1348E-02,9.2642133288E-02
-1.1344E-02,9.0351574524E-02
-1.1340E-02,9.3570430310E-02
-1.1336E-02,9.5855119208E-02
-1.1332E-02,9.0180065738E-02
-1.1328E-02,9.6590921842E-02
-1.1324E-02,9.5891931036E-02
-1.1320E-02,9.3234040776E-02
-1.1316E-02,9.4815552238E-02
-1.1312E-02,9.7939708166E-02
-1.1308E-02,9.4284274593E-02
-1.1304E-02,9.3334906137E-02
-1.1300E-02,9.7561156691E-02
-1.1296E-02,1.0265308601E-01
-1.1292E-02,1.0035682905E-01
-1.1288E-02,1.0263837082E-01
-1.1284E-02,1.0266072494E-01
-1.1280E-02,1.0737224313E-01
-1.1276E-02,1.0500437952E-01
-1.1272E-02,1.0342611056E-01
-1.1268E-02,1.1144382678E-01
-1.1264E-02,1.1400198655E-01
-1.1260E-02,1.1344469744E-01
-1.1256E-02,1.1522553160E-01
-1.1252E-02,1.1507717326E-01
-1.1248E-02,1.1884809679E-01
-1.1244E-02,1.2104676904E-01
-1.1240E-02,1.3088394800E-01
-1.1236E-02,1.2702233481E-01
-1.1232E-02,1.2882620497E-01
-1.1228E-02,1.3349331531E-01
-1.1224E-02,1.4485856660E-01
-1.1220E-02,1.3902986666E-01
-1.1216E-02,1.4006481785E-01
-1.1212E-02,1.4567790156E-01
-1.1208E-02,1.4977875825E-01
-1.1204E-02,1.5187214963E-01
-1.1200E-02,1.5741460899E-01
-1.1196E-02,1.6030769440E-01
-1.1192E-02,1.6922751022E-01
-1.1188E-02,1.6358837213E-01
-1.1184E-02,1.8370945017E-01
-1.1180E-02,1.7206929750E-01
-1.1176E-02,1.8612621342E-01
-1.1172E-02,1.7933001091E-01
-1.1168E-02,1.9573931230E-01
-1.1164E-02,1.9876151091E-01
-1.1160E-02,2.1008869629E-01
-1.1156E-02,2.0021936897E-01
-1.1152E-02,2.0232213496E-01
-1.1148E-02,2.2124267534E-01
-1.1144E-02,2.1957576712E-01
-1.1140E-02,2.3028202470E-01
-1.1136E-02,2.3308708121E-01
-1.1132E-02,2.3406069683E-01
-1.1128E-02,2.6181738719E-01
