XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.5	2
5.6	0
5.7	2
5.8	4
5.9	1
6.0	3
6.1	3
6.2	0
6.3	2
6.4	1
6.5	1
6.6	4
6.7	2
6.8	3
6.9	1
7.0	2
7.1	1
7.2	4
7.3	1
7.4	2
7.5	2
7.6	3
7.7	4
7.8	4
7.9	1
8.0	2
8.1	2
8.2	5
8.3	0
8.4	2
8.5	2
8.6	3
8.7	3
8.8	2
8.9	1
9.0	2
9.1	1
9.2	3
9.3	5
9.4	8
9.5	16
9.6	20
9.7	34
9.8	35
9.9	39
10.0	51
10.1	47
10.2	58
10.3	57
10.4	59
10.5	57
10.6	73
10.7	69
10.8	70
10.9	68
11.0	76
11.1	90
11.2	73
11.3	91
11.4	89
11.5	108
11.6	97
11.7	100
11.8	101
11.9	113
12.0	93
12.1	104
12.2	120
12.3	111
12.4	142
12.5	128
12.6	120
12.7	116
12.8	145
12.9	134
13.0	136
13.1	139
13.2	136
13.3	124
13.4	122
13.5	123
13.6	124
13.7	133
13.8	139
13.9	128
14.0	120
14.1	141
14.2	128
14.3	124
14.4	135
14.5	135
14.6	139
14.7	138
14.8	122
14.9	148
15.0	154
15.1	153
15.2	180
15.3	178
15.4	186
15.5	220
15.6	231
15.7	220
15.8	211
15.9	211
16.0	191
16.1	157
16.2	147
16.3	152
16.4	134
16.5	143
16.6	128
16.7	138
16.8	134
16.9	132
17.0	140
17.1	137
17.2	130
17.3	130
17.4	129
17.5	143
17.6	229
17.7	310
17.8	380
17.9	409
18.0	425
18.1	410
18.2	444
18.3	541
18.4	587
18.5	603
18.6	584
18.7	469
18.8	294
18.9	229
19.0	193
19.1	154
19.2	144
19.3	158
19.4	144
19.5	166
19.6	143
19.7	143
19.8	144
19.9	137
20.0	139
20.1	127
20.2	136
20.3	137
20.4	146
20.5	145
20.6	138
20.7	138
20.8	140
20.9	129
21.0	176
21.1	286
21.2	630
21.3	984
21.4	1152
21.5	1143
21.6	935
21.7	535
21.8	214
21.9	143
22.0	115
22.1	97
22.2	104
22.3	91
22.4	98
22.5	85
22.6	95
22.7	88
22.8	87
22.9	82
23.0	80
23.1	75
23.2	83
23.3	78
23.4	61
23.5	69
23.6	76
23.7	66
23.8	72
23.9	57
24.0	71
24.1	55
24.2	56
24.3	65
24.4	77
24.5	76
24.6	70
24.7	67
24.8	57
24.9	48
25.0	47
25.1	35
25.2	47
25.3	39
25.4	43
25.5	33
25.6	35
25.7	38
25.8	33
25.9	35
26.0	32
26.1	28
26.2	31
26.3	24
26.4	26
26.5	25
26.6	28
26.7	26
26.8	24
26.9	26
27.0	24
27.1	23
27.2	17
27.3	24
27.4	13
27.5	14
27.6	19
27.7	20
27.8	17
27.9	16
28.0	11
28.1	18
28.2	14
28.3	13
28.4	12
28.5	16
28.6	13
28.7	14
28.8	11
28.9	12
29.0	13
29.1	3
29.2	8
29.3	8
29.4	12
29.5	4
29.6	10
29.7	8
29.8	10
29.9	10
30.0	8
30.1	10
30.2	12
30.3	5
30.4	5
30.5	11
30.6	11
30.7	9
30.8	5
30.9	6
31.0	10
31.1	5
31.2	6
31.3	5
31.4	6
31.5	6
31.6	5
31.7	7
31.8	3
31.9	5
32.0	4
32.1	3
32.2	5
32.3	2
32.4	3
32.5	4
32.6	4
32.7	5
32.8	5
32.9	4
33.0	10
33.1	10
33.2	8
33.3	6
33.4	6
33.5	4
33.6	4
33.7	2
33.8	4
33.9	5
34.0	5
34.1	2
34.2	2
34.3	2
34.4	2
34.5	5
34.6	2
34.7	2
34.8	3
34.9	4
35.0	1
35.1	2
35.2	4
35.3	4
35.4	2
35.5	1
