mass,tof (us),Combined
0,0,1.81E-07
0,0.0002,3.22E-07
0,0.0004,4.48E-07
0,0.0006,-9.14E-07
0,0.0008,-4.46E-07
0,0.001,4.29E-07
0,0.0012,1.10E-07
0,0.0014,-4.33E-07
0,0.0016,-3.84E-07
0,0.0018,-4.18E-08
0,0.002,3.50E-07
0,0.0022,-1.40E-07
0,0.0024,-5.48E-08
0,0.0026,-6.40E-08
0,0.0028,-4.33E-07
0,0.003,3.41E-07
0,0.0032,-7.94E-07
0,0.0034,1.95E-07
0,0.0036,2.61E-09
0,0.0038,2.30E-07
0,0.004,3.19E-07
0,0.0042,2.48E-08
0,0.0044,-7.31E-08
0,0.0046,4.83E-07
0,0.0048,2.48E-08
0,0.005,-6.40E-08
0,0.0052,3.90E-07
0,0.0054,2.96E-07
0,0.0056,-6.11E-07
0,0.0058,2.78E-07
0,0.006,3.00E-07
0,0.0062,-7.31E-08
0,0.0064,2.65E-07
0,0.0066,3.67E-07
0,0.0068,-1.96E-08
0,0.007,4.74E-07
0,0.0072,3.09E-07
0,0.0074,1.01E-07
0,0.0076,-2.95E-07
0,0.0078,3.19E-07
0,0.008,-1.04E-08
0,0.0082,1.67E-07
0,0.0084,1.10E-07
0,0.0086,4.11E-07
0,0.0088,-1.62E-07
0,0.009,2.92E-07
0,0.0092,-1.53E-07
0,0.0094,-2.38E-07
0,0.0096,-5.09E-08
0,0.0098,-4.11E-07
0,0.01,6.92E-08
0,0.0102,-4.56E-07
0,0.0104,1.41E-07
0,0.0106,-3.04E-07
0,0.0108,4.83E-07
0,0.011,3.63E-07
0,0.0112,-3.89E-07
0,0.0114,-2.69E-07
0,0.0116,-2.15E-07
0,0.0118,-2.47E-07
0,0.012,2.34E-07
0,0.0122,-1.96E-08
0,0.0124,-5.67E-07
0,0.0126,3.76E-07
0,0.0128,-2.34E-07
0,0.013,-1.40E-07
0,0.0132,-2.06E-07
0,0.0134,2.74E-07
0,0.0136,3.41E-07
0,0.0138,-1.40E-07
0,0.014,-8.22E-08
0,0.0142,-3.67E-07
0,0.0144,1.54E-07
0,0.0146,-1.93E-07
0,0.0148,1.10E-07
0,0.015,1.95E-07
0,0.0152,-2.06E-07
0,0.0154,7.83E-08
0,0.0156,4.61E-07
