mass,tof (us),Combined
0,0,1.96E-07
0,0.0002,5.87E-07
0,0.0004,1.96E-07
0,0.0006,1.47E-06
0,0.0008,9.79E-07
0,0.001,3.92E-07
0,0.0012,4.90E-07
0,0.0014,1.08E-06
0,0.0016,7.83E-07
0,0.0018,6.85E-07
0,0.002,2.94E-07
0,0.0022,7.83E-07
0,0.0024,5.87E-07
0,0.0026,6.85E-07
0,0.0028,1.08E-06
0,0.003,3.92E-07
0,0.0032,1.37E-06
0,0.0034,2.94E-07
0,0.0036,6.85E-07
0,0.0038,3.92E-07
0,0.004,3.92E-07
0,0.0042,6.85E-07
0,0.0044,7.83E-07
0,0.0046,2.94E-07
0,0.0048,6.85E-07
0,0.005,6.85E-07
0,0.0052,9.79E-08
0,0.0054,3.92E-07
0,0.0056,1.08E-06
0,0.0058,5.87E-07
0,0.006,5.87E-07
0,0.0062,7.83E-07
0,0.0064,4.90E-07
0,0.0066,5.87E-07
0,0.0068,6.85E-07
0,0.007,3.92E-07
0,0.0072,4.90E-07
0,0.0074,5.87E-07
0,0.0076,7.83E-07
0,0.0078,3.92E-07
0,0.008,5.87E-07
0,0.0082,5.87E-07
0,0.0084,4.90E-07
0,0.0086,5.87E-07
0,0.0088,7.83E-07
0,0.009,1.96E-07
0,0.0092,6.85E-07
0,0.0094,8.81E-07
0,0.0096,7.83E-07
0,0.0098,1.08E-06
0,0.01,6.85E-07
0,0.0102,1.08E-06
0,0.0104,3.92E-07
0,0.0106,8.81E-07
0,0.0108,2.94E-07
0,0.011,3.92E-07
0,0.0112,1.08E-06
0,0.0114,9.79E-07
0,0.0116,8.81E-07
0,0.0118,9.79E-07
0,0.012,5.87E-07
0,0.0122,6.85E-07
0,0.0124,1.08E-06
0,0.0126,4.90E-07
0,0.0128,1.08E-06
0,0.013,7.83E-07
0,0.0132,7.83E-07
0,0.0134,3.92E-07
0,0.0136,3.92E-07
0,0.0138,7.83E-07
0,0.014,8.81E-07
0,0.0142,1.08E-06
0,0.0144,4.90E-07
0,0.0146,8.81E-07
0,0.0148,4.90E-07
0,0.015,2.94E-07
0,0.0152,7.83E-07
0,0.0154,5.87E-07
0,0.0156,2.94E-07
0,0.0158,6.85E-07
0,0.016,6.85E-07
0,0.0162,2.94E-07
0,0.0164,6.85E-07
0,0.0166,2.94E-07
0,0.0168,5.87E-07
0,0.017,5.87E-07
0,0.0172,5.87E-07
0,0.0174,4.90E-07
0,0.0176,6.85E-07
0,0.0178,6.85E-07
0,0.018,5.87E-07
0,0.0182,6.85E-07
0,0.0184,4.90E-07
0,0.0186,9.79E-07
0,0.0188,4.90E-07
0,0.019,7.83E-07
0,0.0192,6.85E-07
0,0.0194,8.81E-07
0,0.0196,7.83E-07
0,0.0198,5.87E-07
0,0.02,6.85E-07
0,0.0202,2.94E-07
0,0.0204,4.90E-07
0,0.0206,1.27E-06
0,0.0208,8.81E-07
0,0.021,4.90E-07
0,0.0212,7.83E-07
0,0.0214,1.96E-07
0,0.0216,5.87E-07
0,0.0218,8.81E-07
0,0.022,9.79E-07
0,0.0222,4.90E-07
0,0.0224,3.92E-07
0,0.0226,5.87E-07
0,0.0228,7.83E-07
0,0.023,8.81E-07
0,0.0232,3.92E-07
0,0.0234,6.85E-07
0,0.0236,5.87E-07
0,0.0238,6.85E-07
0,0.024,4.90E-07
0,0.0242,5.87E-07
0,0.0244,5.87E-07
0,0.0246,2.94E-07
0,0.0248,7.83E-07
0,0.025,6.85E-07
0,0.0252,6.85E-07
0,0.0254,1.17E-06
0,0.0256,5.87E-07
0,0.0258,6.85E-07
0,0.026,5.87E-07
0,0.0262,5.87E-07
0,0.0264,1.08E-06
0,0.0266,1.08E-06
0,0.0268,6.85E-07
0,0.027,7.83E-07
0,0.0272,7.83E-07
0,0.0274,5.87E-07
0,0.0276,4.90E-07
0,0.0278,7.83E-07
0,0.028,7.83E-07
0,0.0282,4.90E-07
0,0.0284,4.90E-07
0,0.0286,5.87E-07
0,0.0288,8.81E-07
0,0.029,3.92E-07
0,0.0292,1.17E-06
0,0.0294,8.81E-07
0,0.0296,4.90E-07
0,0.0298,4.90E-07
0,0.03,5.87E-07
0,0.0302,7.83E-07
0,0.0304,3.92E-07
0,0.0306,5.87E-07
0,0.0308,1.96E-07
0,0.031,6.85E-07
0,0.0312,5.87E-07
0,0.0314,4.90E-07
0,0.0316,4.90E-07
0,0.0318,6.85E-07
0,0.032,1.27E-06
0,0.0322,1.08E-06
0,0.0324,1.17E-06
0,0.0326,3.92E-07
0,0.0328,5.87E-07
0,0.033,4.90E-07
0,0.0332,1.76E-06
0,0.0334,2.94E-07
0,0.0336,1.27E-06
0,0.0338,5.87E-07
0,0.034,3.92E-07
0,0.0342,2.94E-07
0,0.0344,4.90E-07
0,0.0346,3.92E-07
0,0.0348,4.90E-07
0,0.035,3.92E-07
0,0.0352,5.87E-07
0,0.0354,9.79E-07
0,0.0356,3.92E-07
0,0.0358,3.92E-07
0,0.036,5.87E-07
0,0.0362,4.90E-07
0,0.0364,6.85E-07
0,0.0366,9.79E-07
0,0.0368,4.90E-07
0,0.037,4.90E-07
0,0.0372,6.85E-07
0,0.0374,6.85E-07
0,0.0376,9.79E-07
0,0.0378,7.83E-07
0,0.038,3.92E-07
0,0.0382,2.94E-07
0,0.0384,7.83E-07
0,0.0386,7.83E-07
0,0.0388,5.87E-07
0,0.039,6.85E-07
0,0.0392,9.79E-07
0,0.0394,7.83E-07
0,0.0396,7.83E-07
0,0.0398,5.87E-07
0,0.04,6.85E-07
0,0.0402,1.17E-06
0,0.0404,8.81E-07
0,0.0406,6.85E-07
0,0.0408,4.90E-07
0,0.041,6.85E-07
0,0.0412,8.81E-07
0,0.0414,7.83E-07
0,0.0416,5.87E-07
0,0.0418,8.81E-07
0,0.042,3.92E-07
0,0.0422,5.87E-07
0,0.0424,7.83E-07
0,0.0426,3.92E-07
0,0.0428,7.83E-07
0,0.043,4.90E-07
0,0.0432,1.08E-06
0,0.0434,4.90E-07
0,0.0436,7.83E-07
0,0.0438,3.92E-07
0,0.044,8.81E-07
0,0.0442,5.87E-07
0,0.0444,8.81E-07
0,0.0446,3.92E-07
0,0.0448,3.92E-07
0,0.045,9.79E-07
0,0.0452,3.92E-07
0,0.0454,1.27E-06
0,0.0456,6.85E-07
0,0.0458,9.79E-07
0,0.046,3.92E-07
0,0.0462,6.85E-07
0,0.0464,5.87E-07
0,0.0466,9.79E-07
0,0.0468,3.92E-07
0,0.047,7.83E-07
0,0.0472,9.79E-08
0,0.0474,1.27E-06
0,0.0476,1.96E-07
0,0.0478,4.90E-07
0,0.048,3.92E-07
0,0.0482,4.90E-07
0,0.0484,6.85E-07
0,0.0486,7.83E-07
0,0.0488,4.90E-07
0,0.049,1.08E-06
0,0.0492,1.08E-06
0,0.0494,3.92E-07
0,0.0496,6.85E-07
0,0.0498,8.81E-07
0,0.05,5.87E-07
0,0.0502,6.85E-07
0,0.0504,6.85E-07
0,0.0506,2.94E-07
0,0.0508,4.90E-07
0,0.051,8.81E-07
0,0.0512,5.87E-07
0,0.0514,7.83E-07
0,0.0516,3.92E-07
0,0.0518,4.90E-07
0,0.052,5.87E-07
0,0.0522,8.81E-07
0,0.0524,4.90E-07
0,0.0526,5.87E-07
0,0.0528,7.83E-07
0,0.053,6.85E-07
0,0.0532,4.90E-07
0,0.0534,9.79E-07
0,0.0536,9.79E-07
0,0.0538,8.81E-07
0,0.054,9.79E-07
0,0.0542,6.85E-07
0,0.0544,6.85E-07
0,0.0546,8.81E-07
0,0.0548,4.90E-07
0,0.055,6.85E-07
0,0.0552,6.85E-07
0,0.0554,8.81E-07
0,0.0556,5.87E-07
0,0.0558,6.85E-07
0,0.056,7.83E-07
0,0.0562,9.79E-08
0,0.0564,2.94E-07
0,0.0566,6.85E-07
0,0.0568,6.85E-07
0,0.057,4.90E-07
0,0.0572,7.83E-07
0,0.0574,7.83E-07
0,0.0576,4.90E-07
0,0.0578,7.83E-07
0,0.058,1.96E-07
0,0.0582,6.85E-07
0,0.0584,7.83E-07
0,0.0586,3.92E-07
0,0.0588,2.94E-07
0,0.059,6.85E-07
0,0.0592,8.81E-07
0,0.0594,4.90E-07
0,0.0596,9.79E-07
0,0.0598,3.92E-07
0,0.06,1.96E-07
0,0.0602,9.79E-08
0,0.0604,8.81E-07
0,0.0606,1.96E-07
0,0.0608,1.08E-06
0,0.061,2.94E-07
0,0.0612,5.87E-07
0,0.0614,1.17E-06
0,0.0616,6.85E-07
0,0.0618,1.17E-06
0,0.062,9.79E-07
0,0.0622,6.85E-07
0,0.0624,5.87E-07
0,0.0626,8.81E-07
0,0.0628,7.83E-07
0,0.063,7.83E-07
0,0.0632,6.85E-07
0,0.0634,5.87E-07
0,0.0636,4.90E-07
0,0.0638,5.87E-07
0,0.064,3.92E-07
0,0.0642,4.90E-07
0,0.0644,3.92E-07
0,0.0646,9.79E-07
0,0.0648,6.85E-07
0,0.065,8.81E-07
0,0.0652,9.79E-07
0,0.0654,9.79E-07
0,0.0656,6.85E-07
0,0.0658,7.83E-07
0,0.066,5.87E-07
0,0.0662,5.87E-07
0,0.0664,4.90E-07
0,0.0666,1.96E-07
0,0.0668,7.83E-07
0,0.067,4.90E-07
0,0.0672,4.90E-07
0,0.0674,4.90E-07
0,0.0676,6.85E-07
0,0.0678,3.92E-07
0,0.068,1.08E-06
0,0.0682,5.87E-07
0,0.0684,2.94E-07
0,0.0686,5.87E-07
0,0.0688,7.83E-07
0,0.069,7.83E-07
0,0.0692,4.90E-07
0,0.0694,3.92E-07
0,0.0696,1.96E-07
0,0.0698,7.83E-07
0,0.07,6.85E-07
0,0.0702,2.94E-07
0,0.0704,7.83E-07
0,0.0706,7.83E-07
0,0.0708,3.92E-07
0,0.071,1.17E-06
0,0.0712,8.81E-07
0,0.0714,4.90E-07
0,0.0716,3.92E-07
0,0.0718,6.85E-07
0,0.072,9.79E-08
0,0.0722,8.81E-07
0,0.0724,3.92E-07
0,0.0726,7.83E-07
0,0.0728,3.92E-07
0,0.073,8.81E-07
0,0.0732,7.83E-07
0,0.0734,1.08E-06
0,0.0736,5.87E-07
0,0.0738,4.90E-07
0,0.074,6.85E-07
0,0.0742,9.79E-07
0,0.0744,7.83E-07
0,0.0746,6.85E-07
0,0.0748,9.79E-07
0,0.075,9.79E-07
0,0.0752,1.08E-06
0,0.0754,2.94E-07
0,0.0756,3.92E-07
0,0.0758,8.81E-07
0,0.076,4.90E-07
0,0.0762,5.87E-07
