mass,tof (us),Combined
0,0,0.00E+00
0,0.0002,3.92E-07
0,0.0004,0.00E+00
0,0.0006,3.92E-07
0,0.0008,7.83E-07
0,0.001,0.00E+00
0,0.0012,1.57E-06
0,0.0014,3.92E-07
0,0.0016,3.92E-07
0,0.0018,0.00E+00
0,0.002,0.00E+00
0,0.0022,3.92E-07
0,0.0024,0.00E+00
0,0.0026,3.92E-07
0,0.0028,1.17E-06
0,0.003,7.83E-07
0,0.0032,3.92E-07
0,0.0034,0.00E+00
0,0.0036,3.92E-07
0,0.0038,7.83E-07
0,0.004,0.00E+00
0,0.0042,3.92E-07
0,0.0044,0.00E+00
0,0.0046,3.92E-07
0,0.0048,3.92E-07
0,0.005,3.92E-07
0,0.0052,1.17E-06
0,0.0054,0.00E+00
0,0.0056,0.00E+00
0,0.0058,3.92E-07
0,0.006,0.00E+00
0,0.0062,7.83E-07
0,0.0064,0.00E+00
0,0.0066,0.00E+00
0,0.0068,0.00E+00
0,0.007,3.92E-07
0,0.0072,3.92E-07
0,0.0074,3.92E-07
0,0.0076,0.00E+00
0,0.0078,0.00E+00
0,0.008,1.17E-06
0,0.0082,3.92E-07
0,0.0084,7.83E-07
0,0.0086,3.92E-07
0,0.0088,1.17E-06
0,0.009,0.00E+00
0,0.0092,3.92E-07
0,0.0094,7.83E-07
0,0.0096,0.00E+00
0,0.0098,1.17E-06
0,0.01,3.92E-07
0,0.0102,3.92E-07
0,0.0104,7.83E-07
0,0.0106,0.00E+00
0,0.0108,3.92E-07
0,0.011,0.00E+00
0,0.0112,0.00E+00
0,0.0114,3.92E-07
0,0.0116,3.92E-07
0,0.0118,7.83E-07
0,0.012,3.92E-07
0,0.0122,0.00E+00
0,0.0124,0.00E+00
0,0.0126,1.57E-06
0,0.0128,3.92E-07
0,0.013,3.92E-07
0,0.0132,3.92E-07
0,0.0134,7.83E-07
0,0.0136,0.00E+00
0,0.0138,3.92E-07
0,0.014,0.00E+00
0,0.0142,3.92E-07
0,0.0144,7.83E-07
0,0.0146,1.17E-06
0,0.0148,0.00E+00
0,0.015,0.00E+00
0,0.0152,0.00E+00
0,0.0154,3.92E-07
0,0.0156,7.83E-07
0,0.0158,1.17E-06
0,0.016,3.92E-07
0,0.0162,3.92E-07
0,0.0164,7.83E-07
0,0.0166,0.00E+00
0,0.0168,1.57E-06
0,0.017,0.00E+00
0,0.0172,7.83E-07
0,0.0174,3.92E-07
0,0.0176,7.83E-07
0,0.0178,0.00E+00
0,0.018,3.92E-07
0,0.0182,0.00E+00
0,0.0184,0.00E+00
0,0.0186,3.92E-07
0,0.0188,0.00E+00
0,0.019,0.00E+00
0,0.0192,7.83E-07
0,0.0194,1.17E-06
0,0.0196,3.92E-07
0,0.0198,0.00E+00
0,0.02,3.92E-07
0,0.0202,7.83E-07
0,0.0204,0.00E+00
0,0.0206,0.00E+00
0,0.0208,7.83E-07
0,0.021,3.92E-07
0,0.0212,3.92E-07
0,0.0214,0.00E+00
0,0.0216,0.00E+00
0,0.0218,3.92E-07
0,0.022,0.00E+00
0,0.0222,3.92E-07
0,0.0224,3.92E-07
0,0.0226,7.83E-07
0,0.0228,3.92E-07
0,0.023,0.00E+00
0,0.0232,0.00E+00
0,0.0234,7.83E-07
0,0.0236,0.00E+00
0,0.0238,3.92E-07
0,0.024,3.92E-07
0,0.0242,3.92E-07
0,0.0244,0.00E+00
0,0.0246,0.00E+00
0,0.0248,0.00E+00
0,0.025,3.92E-07
0,0.0252,0.00E+00
0,0.0254,0.00E+00
0,0.0256,0.00E+00
0,0.0258,3.92E-07
0,0.026,0.00E+00
0,0.0262,3.92E-07
0,0.0264,1.17E-06
0,0.0266,0.00E+00
0,0.0268,3.92E-07
0,0.027,7.83E-07
0,0.0272,3.92E-07
0,0.0274,0.00E+00
0,0.0276,3.92E-07
0,0.0278,0.00E+00
0,0.028,3.92E-07
0,0.0282,3.92E-07
0,0.0284,3.92E-07
0,0.0286,7.83E-07
0,0.0288,0.00E+00
0,0.029,0.00E+00
0,0.0292,0.00E+00
0,0.0294,3.92E-07
0,0.0296,0.00E+00
0,0.0298,3.92E-07
0,0.03,0.00E+00
0,0.0302,0.00E+00
0,0.0304,0.00E+00
0,0.0306,0.00E+00
0,0.0308,7.83E-07
0,0.031,3.92E-07
0,0.0312,3.92E-07
0,0.0314,3.92E-07
0,0.0316,3.92E-07
0,0.0318,7.83E-07
0,0.032,3.92E-07
0,0.0322,0.00E+00
0,0.0324,7.83E-07
0,0.0326,7.83E-07
0,0.0328,7.83E-07
0,0.033,3.92E-07
0,0.0332,7.83E-07
0,0.0334,0.00E+00
0,0.0336,1.17E-06
0,0.0338,0.00E+00
0,0.034,3.92E-07
0,0.0342,7.83E-07
0,0.0344,7.83E-07
0,0.0346,0.00E+00
0,0.0348,0.00E+00
0,0.035,0.00E+00
0,0.0352,3.92E-07
0,0.0354,0.00E+00
0,0.0356,7.83E-07
0,0.0358,0.00E+00
0,0.036,7.83E-07
0,0.0362,7.83E-07
0,0.0364,7.83E-07
0,0.0366,7.83E-07
0,0.0368,3.92E-07
0,0.037,3.92E-07
0,0.0372,0.00E+00
0,0.0374,7.83E-07
0,0.0376,0.00E+00
0,0.0378,3.92E-07
0,0.038,0.00E+00
0,0.0382,3.92E-07
0,0.0384,0.00E+00
0,0.0386,0.00E+00
0,0.0388,0.00E+00
0,0.039,7.83E-07
0,0.0392,3.92E-07
0,0.0394,3.92E-07
0,0.0396,7.83E-07
0,0.0398,3.92E-07
0,0.04,0.00E+00
0,0.0402,3.92E-07
0,0.0404,3.92E-07
0,0.0406,3.92E-07
0,0.0408,1.17E-06
0,0.041,7.83E-07
0,0.0412,3.92E-07
0,0.0414,7.83E-07
