mass,tof (us),Combined
0,0,0
0,0.0002,3.50E-07
0,0.0004,3.50E-07
0,0.0006,0
0,0.0008,0
0,0.001,0
0,0.0012,3.50E-07
0,0.0014,3.50E-07
0,0.0016,7.01E-07
0,0.0018,0
0,0.002,1.05E-06
0,0.0022,3.50E-07
0,0.0024,0
0,0.0026,3.50E-07
0,0.0028,0
0,0.003,0
0,0.0032,0
0,0.0034,7.01E-07
0,0.0036,7.01E-07
0,0.0038,3.50E-07
0,0.004,0
0,0.0042,7.01E-07
0,0.0044,7.01E-07
0,0.0046,1.75E-06
0,0.0048,7.01E-07
0,0.005,7.01E-07
0,0.0052,0
0,0.0054,0
0,0.0056,1.05E-06
0,0.0058,0
0,0.006,1.75E-06
0,0.0062,3.50E-07
0,0.0064,7.01E-07
0,0.0066,3.50E-07
0,0.0068,3.50E-07
0,0.007,0
0,0.0072,3.50E-07
0,0.0074,0
0,0.0076,7.01E-07
0,0.0078,0
0,0.008,1.75E-06
0,0.0082,3.50E-07
0,0.0084,0
0,0.0086,0
0,0.0088,0
0,0.009,1.75E-06
0,0.0092,7.01E-07
0,0.0094,-3.29E-05
0,0.0096,7.01E-07
0,0.0098,1.05E-06
0,0.01,0
0,0.0102,3.50E-07
0,0.0104,1.05E-06
0,0.0106,1.05E-06
0,0.0108,3.50E-07
0,0.011,0
0,0.0112,3.50E-07
0,0.0114,1.05E-06
0,0.0116,7.01E-07
0,0.0118,7.01E-07
0,0.012,3.50E-07
0,0.0122,3.50E-07
0,0.0124,7.01E-07
0,0.0126,0
0,0.0128,7.01E-07
0,0.013,0
0,0.0132,7.01E-07
0,0.0134,3.50E-07
0,0.0136,3.50E-07
0,0.0138,3.50E-07
0,0.014,7.01E-07
0,0.0142,1.75E-06
0,0.0144,7.01E-07
0,0.0146,7.01E-07
0,0.0148,0
0,0.015,7.01E-07
0,0.0152,3.50E-07
0,0.0154,1.05E-06
0,0.0156,7.01E-07
0,0.0158,0
0,0.016,7.01E-07
0,0.0162,7.01E-07
0,0.0164,3.50E-07
0,0.0166,7.01E-07
0,0.0168,0
0,0.017,1.40E-06
0,0.0172,3.50E-07
0,0.0174,1.75E-06
0,0.0176,3.50E-07
0,0.0178,0
0,0.018,3.50E-07
0,0.0182,3.50E-07
0,0.0184,7.01E-07
0,0.0186,0
0,0.0188,3.50E-07
0,0.019,7.01E-07
0,0.0192,3.50E-07
0,0.0194,3.50E-07
0,0.0196,3.50E-07
0,0.0198,3.50E-07
0,0.02,1.75E-06
0,0.0202,0
0,0.0204,3.50E-07
0,0.0206,3.50E-07
0,0.0208,1.05E-06
0,0.021,7.01E-07
0,0.0212,0
0,0.0214,3.50E-07
0,0.0216,7.01E-07
0,0.0218,1.05E-06
0,0.022,7.01E-07
0,0.0222,0
0,0.0224,1.05E-06
0,0.0226,1.05E-06
0,0.0228,0
0,0.023,3.50E-07
0,0.0232,7.01E-07
0,0.0234,0
0,0.0236,1.40E-06
0,0.0238,7.01E-07
0,0.024,3.50E-07
0,0.0242,1.40E-06
0,0.0244,7.01E-07
0,0.0246,3.50E-07
0,0.0248,3.50E-07
0,0.025,3.50E-07
0,0.0252,1.75E-06
0,0.0254,3.50E-07
0,0.0256,3.50E-07
0,0.0258,7.01E-07
0,0.026,7.01E-07
0,0.0262,1.05E-06
0,0.0264,3.50E-07
0,0.0266,3.50E-07
0,0.0268,3.50E-07
0,0.027,1.75E-06
0,0.0272,0
0,0.0274,0
0,0.0276,3.50E-07
0,0.0278,3.50E-07
0,0.028,3.50E-07
0,0.0282,3.50E-07
0,0.0284,7.01E-07
0,0.0286,0
0,0.0288,0
0,0.029,3.50E-07
0,0.0292,7.01E-07
0,0.0294,3.50E-07
0,0.0296,1.40E-06
0,0.0298,0
0,0.03,3.50E-07
0,0.0302,3.50E-07
0,0.0304,3.50E-07
0,0.0306,0
0,0.0308,3.50E-07
0,0.031,7.01E-07
0,0.0312,7.01E-07
0,0.0314,0
0,0.0316,1.05E-06
0,0.0318,0
0,0.032,1.05E-06
0,0.0322,3.50E-07
0,0.0324,7.01E-07
0,0.0326,1.05E-06
0,0.0328,1.05E-06
0,0.033,3.50E-07
0,0.0332,7.01E-07
0,0.0334,3.50E-07
0,0.0336,3.50E-07
0,0.0338,0
0,0.034,1.40E-06
0,0.0342,0
0,0.0344,3.50E-07
0,0.0346,3.50E-07
0,0.0348,2.10E-06
0,0.035,-3.22E-05
0,0.0352,0
0,0.0354,1.05E-06
0,0.0356,1.05E-06
0,0.0358,0
0,0.036,7.01E-07
0,0.0362,1.40E-06
0,0.0364,0
0,0.0366,1.40E-06
0,0.0368,7.01E-07
0,0.037,3.50E-07
0,0.0372,7.01E-07
0,0.0374,7.01E-07
0,0.0376,3.50E-07
0,0.0378,0
0,0.038,1.75E-06
0,0.0382,0
0,0.0384,3.50E-07
0,0.0386,3.50E-07
0,0.0388,0
0,0.039,7.01E-07
0,0.0392,3.50E-07
0,0.0394,7.01E-07
0,0.0396,0
0,0.0398,7.01E-07
0,0.04,0
0,0.0402,3.50E-07
0,0.0404,3.50E-07
0,0.0406,0
0,0.0408,7.01E-07
0,0.041,1.05E-06
0,0.0412,1.05E-06
0,0.0414,0
0,0.0416,1.40E-06
0,0.0418,3.50E-07
0,0.042,7.01E-07
0,0.0422,0
0,0.0424,0
0,0.0426,3.50E-07
0,0.0428,3.50E-07
0,0.043,3.50E-07
0,0.0432,3.50E-07
0,0.0434,0
0,0.0436,3.50E-07
0,0.0438,3.50E-07
0,0.044,0
0,0.0442,3.50E-07
0,0.0444,0
0,0.0446,3.50E-07
0,0.0448,1.05E-06
0,0.045,1.05E-06
0,0.0452,0
0,0.0454,3.50E-07
0,0.0456,7.01E-07
0,0.0458,0
0,0.046,0
0,0.0462,7.01E-07
0,0.0464,7.01E-07
0,0.0466,3.50E-07
0,0.0468,3.50E-07
0,0.047,7.01E-07
0,0.0472,3.50E-07
0,0.0474,3.50E-07
0,0.0476,0
0,0.0478,7.01E-07
0,0.048,7.01E-07
0,0.0482,7.01E-07
0,0.0484,7.01E-07
0,0.0486,0
0,0.0488,1.05E-06
0,0.049,1.05E-06
0,0.0492,3.50E-07
0,0.0494,1.40E-06
0,0.0496,0
0,0.0498,7.01E-07
0,0.05,3.50E-07
0,0.0502,3.50E-07
0,0.0504,0
0,0.0506,0
0,0.0508,7.01E-07
0,0.051,1.05E-06
0,0.0512,7.01E-07
0,0.0514,1.75E-06
0,0.0516,3.50E-07
0,0.0518,3.50E-07
0,0.052,0
0,0.0522,0
0,0.0524,1.05E-06
0,0.0526,7.01E-07
0,0.0528,3.50E-07
0,0.053,3.50E-07
0,0.0532,0
0,0.0534,-3.33E-05
0,0.0536,0
0,0.0538,7.01E-07
0,0.054,1.05E-06
0,0.0542,0
0,0.0544,0
0,0.0546,7.01E-07
0,0.0548,7.01E-07
