mass,tof (us),Combined
0,0,0
0,0.0002,0
0,0.0004,9.51E-07
0,0.0006,0
0,0.0008,9.51E-07
0,0.001,4.76E-07
0,0.0012,1.43E-06
0,0.0014,9.51E-07
0,0.0016,0
0,0.0018,0
0,0.002,0
0,0.0022,4.76E-07
0,0.0024,4.76E-07
0,0.0026,1.90E-06
0,0.0028,9.51E-07
0,0.003,9.51E-07
0,0.0032,4.76E-07
0,0.0034,9.51E-07
0,0.0036,4.76E-07
0,0.0038,4.76E-07
0,0.004,0
0,0.0042,0
0,0.0044,4.76E-07
0,0.0046,4.76E-07
0,0.0048,4.76E-07
0,0.005,0
0,0.0052,9.51E-07
0,0.0054,4.76E-07
0,0.0056,9.51E-07
0,0.0058,0
0,0.006,9.51E-07
0,0.0062,4.76E-07
0,0.0064,4.76E-07
0,0.0066,0
0,0.0068,4.76E-07
0,0.007,2.38E-06
0,0.0072,1.90E-06
0,0.0074,4.76E-07
0,0.0076,0
0,0.0078,0
0,0.008,0
0,0.0082,1.43E-06
0,0.0084,0
0,0.0086,9.51E-07
0,0.0088,9.51E-07
0,0.009,9.51E-07
0,0.0092,0
0,0.0094,-3.23E-05
0,0.0096,0
0,0.0098,0
0,0.01,4.76E-07
0,0.0102,4.76E-07
0,0.0104,0
0,0.0106,0
0,0.0108,4.76E-07
0,0.011,9.51E-07
0,0.0112,4.76E-07
0,0.0114,4.76E-07
0,0.0116,9.51E-07
0,0.0118,4.76E-07
0,0.012,0
0,0.0122,0
0,0.0124,9.51E-07
0,0.0126,0
0,0.0128,0
0,0.013,0
0,0.0132,4.76E-07
0,0.0134,4.76E-07
0,0.0136,9.51E-07
0,0.0138,1.43E-06
0,0.014,4.76E-07
0,0.0142,9.51E-07
0,0.0144,0
0,0.0146,0
0,0.0148,4.76E-07
0,0.015,4.76E-07
0,0.0152,4.76E-07
0,0.0154,0
0,0.0156,4.76E-07
0,0.0158,9.51E-07
0,0.016,0
0,0.0162,1.43E-06
0,0.0164,9.51E-07
0,0.0166,9.51E-07
0,0.0168,9.51E-07
0,0.017,0
0,0.0172,4.76E-07
0,0.0174,4.76E-07
0,0.0176,4.76E-07
0,0.0178,0
0,0.018,0
0,0.0182,0
0,0.0184,0
0,0.0186,0
0,0.0188,4.76E-07
0,0.019,4.76E-07
0,0.0192,4.76E-07
0,0.0194,4.76E-07
0,0.0196,0
0,0.0198,9.51E-07
0,0.02,0
0,0.0202,0
0,0.0204,4.76E-07
0,0.0206,4.76E-07
0,0.0208,4.76E-07
0,0.021,4.76E-07
0,0.0212,0
0,0.0214,4.76E-07
0,0.0216,1.43E-06
0,0.0218,0
0,0.022,9.51E-07
0,0.0222,1.43E-06
0,0.0224,4.76E-07
0,0.0226,9.51E-07
0,0.0228,0
0,0.023,9.51E-07
0,0.0232,4.76E-07
0,0.0234,4.76E-07
0,0.0236,0
0,0.0238,4.76E-07
0,0.024,0
0,0.0242,1.43E-06
0,0.0244,0
0,0.0246,4.76E-07
0,0.0248,4.76E-07
0,0.025,4.76E-07
0,0.0252,0
0,0.0254,4.76E-07
0,0.0256,4.76E-07
0,0.0258,9.51E-07
0,0.026,0
0,0.0262,0
0,0.0264,0
0,0.0266,1.90E-06
0,0.0268,9.51E-07
0,0.027,1.43E-06
0,0.0272,0
0,0.0274,0
0,0.0276,0
0,0.0278,4.76E-07
0,0.028,4.76E-07
0,0.0282,0
0,0.0284,0
0,0.0286,4.76E-07
0,0.0288,2.38E-06
0,0.029,0
0,0.0292,0
0,0.0294,4.76E-07
0,0.0296,4.76E-07
0,0.0298,4.76E-07
0,0.03,0
0,0.0302,4.76E-07
0,0.0304,0
0,0.0306,1.43E-06
0,0.0308,1.43E-06
0,0.031,9.51E-07
0,0.0312,0
0,0.0314,0
0,0.0316,9.51E-07
0,0.0318,4.76E-07
0,0.032,0
0,0.0322,0
0,0.0324,0
0,0.0326,0
0,0.0328,4.76E-07
0,0.033,0
0,0.0332,0
0,0.0334,4.76E-07
0,0.0336,0
0,0.0338,4.76E-07
0,0.034,0
0,0.0342,0
0,0.0344,0
0,0.0346,4.76E-07
0,0.0348,4.76E-07
0,0.035,-3.28E-05
0,0.0352,4.76E-07
0,0.0354,0
0,0.0356,1.43E-06
0,0.0358,4.76E-07
0,0.036,0
0,0.0362,0
0,0.0364,0
0,0.0366,0
0,0.0368,0
0,0.037,4.76E-07
0,0.0372,4.76E-07
0,0.0374,4.76E-07
0,0.0376,0
0,0.0378,4.76E-07
0,0.038,4.76E-07
0,0.0382,0
0,0.0384,4.76E-07
0,0.0386,4.76E-07
0,0.0388,4.76E-07
0,0.039,0
0,0.0392,4.76E-07
0,0.0394,4.76E-07
0,0.0396,4.76E-07
0,0.0398,0
0,0.04,4.76E-07
0,0.0402,4.76E-07
0,0.0404,0
0,0.0406,0
0,0.0408,4.76E-07
0,0.041,0
0,0.0412,1.43E-06
0,0.0414,4.76E-07
0,0.0416,4.76E-07
0,0.0418,1.43E-06
0,0.042,0
0,0.0422,1.43E-06
0,0.0424,0
0,0.0426,0
0,0.0428,4.76E-07
0,0.043,0
0,0.0432,4.76E-07
0,0.0434,4.76E-07
0,0.0436,4.76E-07
0,0.0438,4.76E-07
0,0.044,4.76E-07
0,0.0442,0
0,0.0444,9.51E-07
0,0.0446,4.76E-07
0,0.0448,1.43E-06
0,0.045,4.76E-07
0,0.0452,0
0,0.0454,0
0,0.0456,9.51E-07
0,0.0458,0
0,0.046,0
0,0.0462,0
0,0.0464,1.90E-06
0,0.0466,1.43E-06
0,0.0468,4.76E-07
0,0.047,9.51E-07
0,0.0472,1.90E-06
0,0.0474,0
0,0.0476,0
0,0.0478,9.51E-07
0,0.048,0
0,0.0482,4.76E-07
0,0.0484,1.43E-06
0,0.0486,4.76E-07
0,0.0488,1.43E-06
0,0.049,0
0,0.0492,9.51E-07
0,0.0494,4.76E-07
0,0.0496,9.51E-07
0,0.0498,9.51E-07
0,0.05,4.76E-07
0,0.0502,0
0,0.0504,9.51E-07
0,0.0506,4.76E-07
0,0.0508,0
0,0.051,1.43E-06
0,0.0512,4.76E-07
0,0.0514,4.76E-07
0,0.0516,4.76E-07
0,0.0518,0
0,0.052,9.51E-07
0,0.0522,0
0,0.0524,0
0,0.0526,4.76E-07
0,0.0528,0
0,0.053,9.51E-07
0,0.0532,0
0,0.0534,-3.28E-05
0,0.0536,0
0,0.0538,4.76E-07
0,0.054,4.76E-07
0,0.0542,9.51E-07
0,0.0544,0
0,0.0546,4.76E-07
0,0.0548,4.76E-07
0,0.055,9.51E-07
0,0.0552,0
0,0.0554,9.51E-07
0,0.0556,4.76E-07
0,0.0558,9.51E-07
0,0.056,4.76E-07
0,0.0562,4.76E-07
0,0.0564,0
0,0.0566,4.76E-07
0,0.0568,9.51E-07
0,0.057,9.51E-07
0,0.0572,1.43E-06
0,0.0574,0
0,0.0576,4.76E-07
0,0.0578,9.51E-07
0,0.058,9.51E-07
0,0.0582,4.76E-07
0,0.0584,0
0,0.0586,9.51E-07
0,0.0588,0
0,0.059,4.76E-07
0,0.0592,4.76E-07
0,0.0594,4.76E-07
0,0.0596,4.76E-07
0,0.0598,4.76E-07
0,0.06,9.51E-07
0,0.0602,0
0,0.0604,9.51E-07
0,0.0606,4.76E-07
0,0.0608,0
0,0.061,4.76E-07
0,0.0612,4.76E-07
0,0.0614,4.76E-07
0,0.0616,4.76E-07
0,0.0618,0
0,0.062,0
0,0.0622,0
0,0.0624,0
0,0.0626,0
0,0.0628,1.43E-06
0,0.063,4.76E-07
0,0.0632,1.43E-06
0,0.0634,4.76E-07
0,0.0636,-3.33E-05
0,0.0638,0
0,0.064,9.51E-07
0,0.0642,1.90E-06
0,0.0644,0
0,0.0646,0
0,0.0648,4.76E-07
0,0.065,-3.23E-05
0,0.0652,9.51E-07
0,0.0654,4.76E-07
0,0.0656,4.76E-07
0,0.0658,0
0,0.066,4.76E-07
0,0.0662,4.76E-07
0,0.0664,1.90E-06
0,0.0666,4.76E-07
0,0.0668,0
0,0.067,0
0,0.0672,0
0,0.0674,0
0,0.0676,0
0,0.0678,9.51E-07
0,0.068,0
0,0.0682,1.90E-06
0,0.0684,4.76E-07
0,0.0686,4.76E-07
0,0.0688,1.90E-06
0,0.069,0
0,0.0692,4.76E-07
0,0.0694,4.76E-07
0,0.0696,4.76E-07
0,0.0698,4.76E-07
0,0.07,9.51E-07
0,0.0702,0
0,0.0704,9.51E-07
0,0.0706,1.43E-06
0,0.0708,0
0,0.071,0
0,0.0712,4.76E-07
0,0.0714,0
0,0.0716,9.51E-07
0,0.0718,9.51E-07
0,0.072,0
0,0.0722,9.51E-07
0,0.0724,0
0,0.0726,4.76E-07
0,0.0728,9.51E-07
0,0.073,0
0,0.0732,0
0,0.0734,1.43E-06
0,0.0736,0
0,0.0738,4.76E-07
0,0.074,4.76E-07
0,0.0742,0
0,0.0744,0
0,0.0746,9.51E-07
0,0.0748,1.43E-06
0,0.075,0
0,0.0752,9.51E-07
0,0.0754,4.76E-07
0,0.0756,0
0,0.0758,9.51E-07
0,0.076,0
0,0.0762,0
0,0.0764,4.76E-07
0,0.0766,4.76E-07
0,0.0768,0
0,0.077,0
0,0.0772,0
0,0.0774,0
0,0.0776,4.76E-07
0,0.0778,9.51E-07
0,0.078,4.76E-07
0,0.0782,9.51E-07
0,0.0784,0
0,0.0786,9.51E-07
0,0.0788,0
0,0.079,4.76E-07
0,0.0792,1.43E-06
0,0.0794,9.51E-07
0,0.0796,4.76E-07
0,0.0798,1.43E-06
0,0.08,4.76E-07
0,0.0802,4.76E-07
0,0.0804,9.51E-07
0,0.0806,0
0,0.0808,0
0,0.081,4.76E-07
0,0.0812,0
0,0.0814,0
0,0.0816,4.76E-07
0,0.0818,0
0,0.082,0
0,0.0822,0
0,0.0824,1.43E-06
0,0.0826,9.51E-07
0,0.0828,4.76E-07
0,0.083,9.51E-07
0,0.0832,1.43E-06
0,0.0834,4.76E-07
0,0.0836,-3.19E-05
0,0.0838,0
0,0.084,4.76E-07
0,0.0842,4.76E-07
0,0.0844,0
0,0.0846,4.76E-07
0,0.0848,4.76E-07
0,0.085,1.90E-06
0,0.0852,0
0,0.0854,0
0,0.0856,4.76E-07
0,0.0858,0
0,0.086,9.51E-07
0,0.0862,0
0,0.0864,0
0,0.0866,4.76E-07
0,0.0868,9.51E-07
0,0.087,4.76E-07
0,0.0872,0
0,0.0874,4.76E-07
0,0.0876,1.43E-06
0,0.0878,0
0,0.088,9.51E-07
0,0.0882,0
0,0.0884,0
0,0.0886,4.76E-07
0,0.0888,0
0,0.089,9.51E-07
0,0.0892,1.43E-06
0,0.0894,4.76E-07
0,0.0896,4.76E-07
0,0.0898,0
0,0.09,0
0,0.0902,4.76E-07
0,0.0904,4.76E-07
0,0.0906,4.76E-07
0,0.0908,0
0,0.091,4.76E-07
0,0.0912,4.76E-07
0,0.0914,0
0,0.0916,4.76E-07
0,0.0918,0
0,0.092,9.51E-07
0,0.0922,4.76E-07
0,0.0924,0
0,0.0926,4.76E-07
0,0.0928,4.76E-07
0,0.093,0
0,0.0932,0
0,0.0934,4.76E-07
0,0.0936,0
0,0.0938,4.76E-07
0,0.094,4.76E-07
0,0.0942,9.51E-07
0,0.0944,4.76E-07
0,0.0946,0
0,0.0948,4.76E-07
0,0.095,0
0,0.0952,4.76E-07
0,0.0954,9.51E-07
0,0.0956,4.76E-07
0,0.0958,1.43E-06
0,0.096,4.76E-07
0,0.0962,1.43E-06
0,0.0964,4.76E-07
0,0.0966,9.51E-07
0,0.0968,0
0,0.097,9.51E-07
0,0.0972,0
0,0.0974,0
0,0.0976,0
0,0.0978,4.76E-07
0,0.098,9.51E-07
0,0.0982,9.51E-07
0,0.0984,4.76E-07
0,0.0986,4.76E-07
0,0.0988,9.51E-07
0,0.099,4.76E-07
0,0.0992,0
0,0.0994,4.76E-07
0,0.0996,0
0,0.0998,1.90E-06
0,0.1,9.51E-07
0,0.1002,4.76E-07
0,0.1004,9.51E-07
0,0.1006,1.43E-06
0,0.1008,9.51E-07
0,0.101,1.43E-06
0,0.1012,4.76E-07
0,0.1014,4.76E-07
0,0.1016,9.51E-07
0,0.1018,0
0,0.102,9.51E-07
0,0.1022,1.90E-06
0,0.1024,4.76E-07
0,0.1026,9.51E-07
0,0.1028,4.76E-07
0,0.103,4.76E-07
0,0.1032,4.76E-07
0,0.1034,4.76E-07
0,0.1036,4.76E-07
0,0.1038,0
0,0.104,9.51E-07
0,0.1042,0
0,0.1044,4.76E-07
0,0.1046,9.51E-07
0,0.1048,9.51E-07
0,0.105,4.76E-07
0,0.1052,1.43E-06
0,0.1054,0
0,0.1056,9.51E-07
0,0.1058,9.51E-07
0,0.106,0
0,0.1062,1.90E-06
0,0.1064,9.51E-07
0,0.1066,4.76E-07
0,0.1068,9.51E-07
0,0.107,4.76E-07
0,0.1072,4.76E-07
0,0.1074,0
0,0.1076,4.76E-07
0,0.1078,4.76E-07
0,0.108,0
0,0.1082,4.76E-07
0,0.1084,4.76E-07
0,0.1086,4.76E-07
0,0.1088,4.76E-07
0,0.109,0
0,0.1092,0
0,0.1094,0
0,0.1096,4.76E-07
0,0.1098,4.76E-07
0,0.11,0
0,0.1102,0
0,0.1104,0
0,0.1106,0
0,0.1108,9.51E-07
0,0.111,0
0,0.1112,4.76E-07
0,0.1114,9.51E-07
0,0.1116,4.76E-07
0,0.1118,4.76E-07
0,0.112,1.43E-06
0,0.1122,0
0,0.1124,0
0,0.1126,0
0,0.1128,0
0,0.113,4.76E-07
0,0.1132,9.51E-07
0,0.1134,0
0,0.1136,4.76E-07
0,0.1138,0
0,0.114,0
0,0.1142,0
0,0.1144,0
0,0.1146,0
0,0.1148,4.76E-07
0,0.115,0
0,0.1152,4.76E-07
0,0.1154,4.76E-07
0,0.1156,0
0,0.1158,9.51E-07
0,0.116,9.51E-07
0,0.1162,4.76E-07
0,0.1164,0
0,0.1166,0
0,0.1168,4.76E-07
0,0.117,0
0,0.1172,0
0,0.1174,9.51E-07
0,0.1176,9.51E-07
0,0.1178,0
0,0.118,4.76E-07
0,0.1182,4.76E-07
0,0.1184,0
0,0.1186,0
0,0.1188,0
0,0.119,9.51E-07
0,0.1192,4.76E-07
0,0.1194,0
0,0.1196,4.76E-07
0,0.1198,4.76E-07
0,0.12,0
0,0.1202,0
0,0.1204,9.51E-07
0,0.1206,0
0,0.1208,4.76E-07
0,0.121,4.76E-07
0,0.1212,9.51E-07
0,0.1214,4.76E-07
0,0.1216,9.51E-07
0,0.1218,0
0,0.122,9.51E-07
0,0.1222,0
0,0.1224,0
0,0.1226,0
0,0.1228,1.43E-06
0,0.123,0
0,0.1232,0
0,0.1234,0
0,0.1236,9.51E-07
0,0.1238,4.76E-07
0,0.124,9.51E-07
0,0.1242,9.51E-07
0,0.1244,4.76E-07
0,0.1246,4.76E-07
0,0.1248,9.51E-07
0,0.125,1.90E-06
0,0.1252,0
0,0.1254,0
0,0.1256,4.76E-07
0,0.1258,0
0,0.126,0
0,0.1262,9.51E-07
0,0.1264,4.76E-07
0,0.1266,9.51E-07
0,0.1268,4.76E-07
0,0.127,0
0,0.1272,4.76E-07
0,0.1274,0
0,0.1276,0
