mass,tof (us),Combined
0,0,5.14E-07
0,0.0002,5.14E-07
0,0.0004,2.05E-07
0,0.0006,-3.28E-05
0,0.0008,9.25E-07
0,0.001,6.16E-07
0,0.0012,4.11E-07
0,0.0014,3.08E-07
0,0.0016,1.03E-06
0,0.0018,5.14E-07
0,0.002,5.14E-07
0,0.0022,4.11E-07
0,0.0024,5.14E-07
0,0.0026,1.23E-06
0,0.0028,9.25E-07
0,0.003,4.11E-07
0,0.0032,8.22E-07
0,0.0034,6.16E-07
0,0.0036,4.11E-07
0,0.0038,4.11E-07
0,0.004,3.08E-07
0,0.0042,6.16E-07
0,0.0044,5.14E-07
0,0.0046,3.08E-07
0,0.0048,3.08E-07
0,0.005,1.03E-06
0,0.0052,7.19E-07
0,0.0054,1.03E-07
0,0.0056,7.19E-07
0,0.0058,9.25E-07
0,0.006,6.16E-07
0,0.0062,7.19E-07
0,0.0064,8.22E-07
0,0.0066,5.14E-07
0,0.0068,8.22E-07
0,0.007,6.16E-07
0,0.0072,1.03E-06
0,0.0074,9.25E-07
0,0.0076,1.03E-06
0,0.0078,4.11E-07
0,0.008,5.14E-07
0,0.0082,1.03E-06
0,0.0084,4.11E-07
0,0.0086,8.22E-07
0,0.0088,8.22E-07
0,0.009,5.14E-07
0,0.0092,3.08E-07
0,0.0094,1.03E-06
0,0.0096,6.16E-07
0,0.0098,7.19E-07
0,0.01,1.64E-06
0,0.0102,6.16E-07
0,0.0104,1.13E-06
0,0.0106,8.22E-07
0,0.0108,1.03E-06
0,0.011,1.03E-06
0,0.0112,8.22E-07
0,0.0114,5.14E-07
0,0.0116,3.08E-07
0,0.0118,6.16E-07
0,0.012,5.14E-07
0,0.0122,4.11E-07
0,0.0124,7.19E-07
0,0.0126,6.16E-07
0,0.0128,4.11E-07
0,0.013,8.22E-07
0,0.0132,3.08E-07
0,0.0134,2.05E-07
0,0.0136,7.19E-07
0,0.0138,8.22E-07
0,0.014,4.11E-07
0,0.0142,1.03E-06
0,0.0144,8.22E-07
0,0.0146,3.08E-07
0,0.0148,8.22E-07
0,0.015,6.16E-07
0,0.0152,5.14E-07
0,0.0154,7.19E-07
0,0.0156,1.03E-06
0,0.0158,6.16E-07
0,0.016,1.03E-06
0,0.0162,8.22E-07
